level,tag,count
back,trans-title,384
back,related-article,218
back,annotation,30
back,named-content,621
back,on-behalf-of,2
back,gov,282
back,{http://www.w3.org/1998/Math/MathML}semantics,6
back,{http://www.w3.org/1998/Math/MathML}annotation,6
back,{http://www.w3.org/1998/Math/MathML}msqrt,209
back,{http://www.w3.org/1998/Math/MathML}munderover,241
back,{http://www.w3.org/1998/Math/MathML}mstyle,327
back,aff,124
back,nlm-citation,8
back,disp-formula-group,18
back,country,53
back,roman,25
back,gloss-group,5
back,anonymous,75
back,{http://www.w3.org/1998/Math/MathML}munder,176
back,trans-source,164
back,permissions,70
back,copyright-holder,63
back,issue-title,77
back,private-char,2
back,glyph-ref,2
back,std,160
back,conf-sponsor,247
back,disp-quote,45
back,date,50
back,{http://www.w3.org/1998/Math/MathML}maligngroup,11
back,{http://www.w3.org/1998/Math/MathML}malignmark,9
back,statement,42
back,state,16
back,sans-serif,10
back,access-date,18
back,abbrev,15
back,{http://www.w3.org/1998/Math/MathML}mmultiscripts,11
back,{http://www.w3.org/1998/Math/MathML}mprescripts,9
back,{http://www.w3.org/1998/Math/MathML}none,11
back,license,8
back,license-p,8
back,attrib,35
back,{http://www.w3.org/1998/Math/MathML}mphantom,6
back,{http://www.w3.org/1998/Math/MathML}mpadded,23
back,term-head,7
back,def-head,10
back,volume-id,1
back,tfoot,3
back,table-wrap-group,5
back,preformat,13
back,std-organization,3
back,code,4
back,grant-sponsor,3
back,grant-num,3
back,{http://www.w3.org/1998/Math/MathML}menclose,1
back,{http://www.w3.org/1998/Math/MathML}mroot,5
back,page-count,1
back,overline,5
back,{http://www.w3.org/1998/Math/MathML}mlabeledtr,4
back,string-date,1
back,glyph-data,1
back,{http://www.w3.org/2000/svg}svg,1
back,{http://www.w3.org/2000/svg}metadata,1
back,{http://www.w3.org/2000/svg}g,1
back,{http://www.w3.org/2000/svg}path,1
back,strike,9
back,degrees,1
back,chem-struct,3
back,copyright-statement,1
back,copyright-year,1
back,verse-group,1
back,verse-line,1
processing-meta,processing-meta,97388
processing-meta,restricted-by,97388
floats-group,floats-group,101918
floats-group,fig,94771
floats-group,label,101900
floats-group,caption,101892
floats-group,p,101248
floats-group,italic,76880
floats-group,sup,57074
